Date,Symbol,Close
1/2/2015,PWR,28.35
1/5/2015,PWR,27.55
1/6/2015,PWR,27.21
1/7/2015,PWR,27.19
1/8/2015,PWR,28.02
1/9/2015,PWR,27.53
1/12/2015,PWR,26.68
1/13/2015,PWR,26.47
1/14/2015,PWR,26.34
1/15/2015,PWR,25.79
1/16/2015,PWR,26.37
1/20/2015,PWR,26.38
1/21/2015,PWR,27.17
1/22/2015,PWR,27.24
1/23/2015,PWR,27.35
1/26/2015,PWR,27.56
1/27/2015,PWR,27.33
1/28/2015,PWR,26.32
1/29/2015,PWR,26.79
1/30/2015,PWR,26.48
2/2/2015,PWR,28.15
2/3/2015,PWR,29.02
2/4/2015,PWR,28.23
2/5/2015,PWR,28.94
2/6/2015,PWR,28.95
2/9/2015,PWR,28.75
2/10/2015,PWR,28.6
2/11/2015,PWR,28.53
2/12/2015,PWR,28.86
2/13/2015,PWR,28.76
2/17/2015,PWR,28.68
2/18/2015,PWR,29.38
2/19/2015,PWR,29.61
2/20/2015,PWR,29.51
2/23/2015,PWR,28.76
2/24/2015,PWR,29.04
2/25/2015,PWR,29.14
2/26/2015,PWR,28.86
2/27/2015,PWR,28.78
3/2/2015,PWR,28.66
3/3/2015,PWR,28.7
3/4/2015,PWR,28.6
3/5/2015,PWR,28.7
3/6/2015,PWR,28.33
3/9/2015,PWR,28.39
3/10/2015,PWR,28.13
3/11/2015,PWR,28.14
3/12/2015,PWR,28.14
3/13/2015,PWR,27.67
3/16/2015,PWR,28.16
3/17/2015,PWR,27.98
3/18/2015,PWR,28.39
3/19/2015,PWR,27.82
3/20/2015,PWR,28.04
3/23/2015,PWR,28.31
3/24/2015,PWR,28.22
3/25/2015,PWR,27.85
3/26/2015,PWR,28.24
3/27/2015,PWR,28.01
3/30/2015,PWR,28.83
3/31/2015,PWR,28.53
4/1/2015,PWR,28.4
4/2/2015,PWR,28.44
4/6/2015,PWR,29.12
4/7/2015,PWR,28.66
4/8/2015,PWR,28.47
4/9/2015,PWR,28.69
4/10/2015,PWR,28.62
4/13/2015,PWR,28.71
4/14/2015,PWR,29.06
4/15/2015,PWR,29.95
4/16/2015,PWR,29.52
4/17/2015,PWR,29.11
4/20/2015,PWR,29.32
4/21/2015,PWR,29.17
4/22/2015,PWR,29.01
4/23/2015,PWR,29.21
4/24/2015,PWR,29.28
4/27/2015,PWR,29.48
4/28/2015,PWR,29.56
4/29/2015,PWR,29.68
4/30/2015,PWR,28.91
5/1/2015,PWR,28.23
5/4/2015,PWR,28.13
5/5/2015,PWR,27.95
5/6/2015,PWR,28
5/7/2015,PWR,28.03
5/8/2015,PWR,28.77
5/11/2015,PWR,29.18
5/12/2015,PWR,28.76
5/13/2015,PWR,29.23
5/14/2015,PWR,29.37
5/15/2015,PWR,29.68
5/18/2015,PWR,30.01
5/19/2015,PWR,29.43
5/20/2015,PWR,29.63
5/21/2015,PWR,30.15
5/22/2015,PWR,29.62
5/26/2015,PWR,28.92
5/27/2015,PWR,29.53
5/28/2015,PWR,29.41
5/29/2015,PWR,29.32
6/1/2015,PWR,29.5
6/2/2015,PWR,30.04
6/3/2015,PWR,30.07
6/4/2015,PWR,29.18
6/5/2015,PWR,29.4
6/8/2015,PWR,28.83
6/9/2015,PWR,28.9
6/10/2015,PWR,29.33
6/11/2015,PWR,29.45
6/12/2015,PWR,29.74
6/15/2015,PWR,29.44
6/16/2015,PWR,29.92
6/17/2015,PWR,29.83
6/18/2015,PWR,29.8
6/19/2015,PWR,29.84
6/22/2015,PWR,30.41
6/23/2015,PWR,30.25
6/24/2015,PWR,29.6
6/25/2015,PWR,29.19
6/26/2015,PWR,29.7
6/29/2015,PWR,28.83
6/30/2015,PWR,28.82
7/1/2015,PWR,28.74
7/2/2015,PWR,28.55
7/6/2015,PWR,28.32
7/7/2015,PWR,28.79
7/8/2015,PWR,27.7
7/9/2015,PWR,27.93
7/10/2015,PWR,28.09
7/13/2015,PWR,28.6
7/14/2015,PWR,28.9
7/15/2015,PWR,28.29
7/16/2015,PWR,28.51
7/17/2015,PWR,28.19
7/20/2015,PWR,28.15
7/21/2015,PWR,28.11
7/22/2015,PWR,27.77
7/23/2015,PWR,27.46
7/24/2015,PWR,27
7/27/2015,PWR,26.63
7/28/2015,PWR,27.21
7/29/2015,PWR,27.79
7/30/2015,PWR,27.78
7/31/2015,PWR,27.62
8/3/2015,PWR,27.42
8/4/2015,PWR,27.33
8/5/2015,PWR,23.11
8/6/2015,PWR,23.34
8/7/2015,PWR,23.64
8/10/2015,PWR,24.48
8/11/2015,PWR,24.45
8/12/2015,PWR,24.94
8/13/2015,PWR,24.19
8/14/2015,PWR,24.53
8/17/2015,PWR,24.46
8/18/2015,PWR,24.49
8/19/2015,PWR,24.18
8/20/2015,PWR,23.66
8/21/2015,PWR,23.06
8/24/2015,PWR,21.97
8/25/2015,PWR,21.83
8/26/2015,PWR,22.41
8/27/2015,PWR,23.65
8/28/2015,PWR,23.77
8/31/2015,PWR,24.24
9/1/2015,PWR,23.26
9/2/2015,PWR,23.7
9/3/2015,PWR,23.88
9/4/2015,PWR,23.69
9/8/2015,PWR,24.42
9/9/2015,PWR,24.36
9/10/2015,PWR,24.54
9/11/2015,PWR,24.4
9/14/2015,PWR,24.22
9/15/2015,PWR,24.61
9/16/2015,PWR,24.93
9/17/2015,PWR,24.74
9/18/2015,PWR,24.58
9/21/2015,PWR,24.91
9/22/2015,PWR,24.46
9/23/2015,PWR,23.73
9/24/2015,PWR,24.1
9/25/2015,PWR,24.38
9/28/2015,PWR,23.6
9/29/2015,PWR,23.85
9/30/2015,PWR,24.21
10/1/2015,PWR,24.69
10/2/2015,PWR,24.75
10/5/2015,PWR,25.56
10/6/2015,PWR,25.63
10/7/2015,PWR,26.2
10/8/2015,PWR,26.78
10/9/2015,PWR,26.51
10/12/2015,PWR,26.28
10/13/2015,PWR,25.88
